generation,scenario,id,normPref,aprioriAck,legalAck,careAck,epistemicAck,attempts,successes,conflict,debt,momentum,trustCount,trustMax,fulfilled,denied,expired,repaired,role,temperament,moralStance,scenarioGroup,memoryLength,affiliation,enableMoralRepair,enableDirectedEmergence,enableNonReciprocalTargeting,batchRun
21,utopian,10312,legal,true,true,false,false,0,0,0,0,0.457,0,0,0,0,0,0,mediator,0.4288696242668686,reactive,pluralist,0.4233376656488901,pref_legal,true,true,true,1
21,utopian,10313,care,true,true,true,true,0,0,0,0,0.916,0,0,0,0,0,0,mediator,0.8823045312691169,proactive,utopian,0.4270625268799605,pref_care,true,true,true,1
21,utopian,10314,epistemic,true,true,false,true,0,0,0,0,0.936,0,0,0,0,0,0,mediator,0.586302295531364,proactive,pluralist,0.7615416171501908,pref_epistemic,true,true,true,1
21,utopian,10316,apriori,false,false,true,true,0,0,0,0,0.500,0,0,0,0,0,0,mediator,0.4493114115066157,proactive,pluralist,0.38015431831356356,pref_apriori,true,true,true,1
21,utopian,10317,epistemic,true,false,true,true,0,0,0,0,0.670,0,0,0,0,0,0,initiator,0.5755517964014473,reactive,pluralist,0.7521030892813725,pref_epistemic,true,true,true,1
21,utopian,10319,care,true,true,true,true,0,0,0,0,0.659,0,0,0,0,0,0,disruptor,0.8502790568287918,proactive,utopian,0.5990742127201811,pref_care,true,true,true,1
21,utopian,10320,legal,true,true,false,false,0,0,0,0,0.546,0,0,0,0,0,0,disruptor,0.7753504269936909,reactive,pluralist,0.462930643360434,pref_legal,true,true,true,1
21,utopian,10322,apriori,true,true,true,true,0,0,0,0,0.837,0,0,0,0,0,0,initiator,0.29784853569138026,proactive,utopian,0.585875559110082,pref_apriori,true,true,true,1
21,utopian,10323,care,true,true,false,true,0,0,0,0,0.537,0,0,0,0,0,0,disruptor,0.46916116602786806,reactive,pluralist,0.8928008588672165,pref_care,true,true,true,1
21,utopian,10324,epistemic,true,true,true,true,0,0,0,0,0.991,0,0,0,0,0,0,mediator,0.7644967331536434,reactive,utopian,0.8823747768497856,pref_epistemic,true,true,true,1
21,utopian,10325,legal,true,true,false,true,0,0,0,0,0.993,0,0,0,0,0,0,responder,0.6762230908006535,proactive,pluralist,0.557872244725091,pref_legal,true,true,true,1
21,utopian,10326,care,true,false,true,true,0,0,0,0,1.000,0,0,0,0,0,0,mediator,0.3124628699135915,reactive,pluralist,0.8835415660480015,pref_care,true,true,true,1
21,utopian,10328,legal,true,true,true,true,0,0,0,0,0.601,0,0,0,0,0,0,mediator,0.26300340269863054,reactive,utopian,0.24606210388442193,pref_legal,true,true,true,1
21,utopian,10332,legal,true,false,true,true,0,0,0,0,0.674,0,0,0,0,0,0,disruptor,0.8300916265187968,reactive,pluralist,0.940345114585595,pref_legal,true,true,true,1
21,utopian,10333,care,true,true,true,true,0,0,0,0,0.914,0,0,0,0,0,0,disruptor,0.9337794856750415,reactive,utopian,0.9777149241207637,pref_care,true,true,true,1
21,utopian,10335,apriori,false,true,true,true,0,0,0,0,0.988,0,0,0,0,0,0,responder,0.8788822244570028,reactive,pluralist,0.5333888014311078,pref_apriori,true,true,true,1
21,utopian,10336,epistemic,false,false,false,true,0,0,0,0,0.710,0,0,0,0,0,0,responder,0.2481336611713285,reactive,pluralist,0.9084172894000793,pref_epistemic,true,true,true,1
21,utopian,10337,epistemic,true,true,false,true,0,0,0,0,1.000,0,0,0,0,0,0,responder,0.9773028526454822,reactive,pluralist,0.9698472374973337,pref_epistemic,true,true,true,1
